banda,Popularity,nome,tempo,Energy,Liveness,userId,Acousticness,instrumentalness,Valence,idMusica,Id,Danceability
Bhaskar,59.0,Infinito Particular - Bhaskar Remix,125.994,0.659,0.121,10208546854389224,0.141,0.00379,0.323,72jW7XpxlhT95QVLPLbsBm,,0.764
Meiko,41.0,Reasons To Love You,94.391,0.18,0.133,10208546854389224,0.88,8e-05,0.467,4wNFFRLo7EnEdbf2eoFLEU,,0.561
Avicii,65.0,For A Better Day,134.987,0.836,0.135,10208546854389224,0.0482,0.139,0.321,3c3XJ9P1BjOtmNXKvdVyHK,,0.631
Lukas Graham,81.0,7 Years,119.992,0.473,0.391,10208546854389224,0.287,0.0,0.34,5kqIPrATaCc2LqxVWzQGbk,,0.765
The Fox,29.0,The Fox,127.982,0.867,0.105,10208546854389224,0.037,0.0,0.437,6gRVeE7nqIFHzMIEDauySP,,0.69
Meiko,18.0,Said And Done,73.792,0.379,0.123,10208546854389224,0.369,0.0487,0.153,076MFr4lmtWqgswWoIDGK1,,0.264
Daft Punk,31.0,End of Line - Remixed by Photek,98.03,0.801,0.34,10208546854389224,0.00163,0.00322,0.51,1Gxil8Re6Vljq3JYFnLWoT,,0.577
Avicii,48.0,Ten More Days,137.981,0.668,0.098,10208546854389224,0.0217,1e-05,0.299,37aStseEdbd33KlmUlIHX6,,0.585
Katy Perry,80.0,Swish Swish,119.938,0.716,0.101,10208546854389224,0.0196,2e-05,0.534,2kVHAQKVtczchKctctzbtK,,0.836
Bhaskar,62.0,This City,124.013,0.525,0.122,10208546854389224,0.508,0.0186,0.46,0hPI50BO2ExTbGCg6RhX21,,0.839
League of Legends,75.0,Legends Never Die (feat. Against the Current),140.078,0.598,0.111,10208546854389224,0.00786,0.0,0.0573,04pjfS3YIK6gXjxi1zHeZa,,0.498
Enrique Iglesias,82.0,SUBEME LA RADIO,91.048,0.823,0.111,10208546854389224,0.0744,0.0,0.647,7nKBxz47S9SD79N086fuhn,,0.684
Luis Fonsi,87.0,Despacito - Remix,88.931,0.815,0.0924,10208546854389224,0.229,0.0,0.813,5CtI0qwDJkDQGwXD1H1cLb,,0.694
Cacife Clandestino,59.0,Aquário,89.898,0.574,0.0881,10208546854389224,0.155,0.0,0.611,1HQoGpPJ8ye2BEavUqdnF9,,0.838
Jeremih,67.0,Birthday Sex,60.019,0.523,0.15,10208546854389224,0.295,0.0,0.446,4Q3TpOXEJZY04PwDDqrAeb,,0.677
Red Hot Chili Peppers,74.0,Scar Tissue,88.969,0.717,0.108,10208546854389224,0.0779,0.00274,0.547,1G391cbiT3v3Cywg8T7DM1,,0.595
João Bosco & Vinicius,54.0,"Chora, Me Liga - Ao Vivo",98.102,0.905,0.831,10208546854389224,0.257,0.0,0.636,1NpD7cQH8hGMZrufOQQ0Xk,,0.682
Avicii,73.0,Waiting For Love,128.081,0.741,0.142,10208546854389224,0.298,0.0,0.581,6nsLzJfvp5OLd4mgqUJkpq,,0.577
Alok,74.0,Fuego,122.012,0.643,0.112,10208546854389224,0.135,0.812,0.325,7ac8sivblLQjsQipO5FZ63,,0.72
Mc Guime,42.0,Na Pista Eu Arraso,78.833,0.875,0.14,10208546854389224,0.113,0.0,0.764,4O9rqYhONdEG45NA0WULsa,,0.619
Enrique Iglesias,57.0,Bailando - Spanish Version,90.95,0.788,0.033,10208546854389224,0.047,0.0,0.957,3LbzMtkyPGcHc6IzyKclFO,,0.72
Legião Urbana,38.0,Acrilic On Canvas,144.378,0.464,0.115,10208546854389224,0.094,0.264,0.726,0pBYqzJf83ilL7LSe8GATw,,0.66
Caetano Veloso,59.0,O Quereres,91.001,0.59,0.0813,10208546854389224,0.664,0.0,0.676,3BO2qQ8AwhdWVTZcUYHo2o,,0.794
Enrique Iglesias,77.0,DUELE EL CORAZON,90.999,0.904,0.226,10208546854389224,0.0786,0.0,0.846,6YZdkObH88npeKrrkb8Ggf,,0.724
Hozier,61.0,Work Song,177.549,0.388,0.112,10208546854389224,0.776,0.0,0.256,3UfCFlGruX0DRPCpD1V3pU,,0.432
Justin Timberlake,65.0,SexyBack,117.0,0.583,0.0519,10208546854389224,0.0584,0.0,0.964,40VAYnnGBDLQVXD8D1ager,,0.967
Elvis Presley,68.0,Hound Dog,174.797,0.756,0.76,10208546854389224,0.733,0.00505,0.95,64Ny7djQ6rNJspquof2KoX,,0.357
Alcione,49.0,Você Me Vira A Cabeça (Me Tira Do Sério),181.914,0.445,0.101,10208546854389224,0.592,0.0,0.262,4ZVxlTOQoTRImsq6RF5raw,,0.43
Tove Lo,44.0,Fairy Dust - Chapter I,104.516,0.128,0.164,10208546854389224,0.677,0.822,0.113,5uqtHww30G9gqXYgCI7Fss,,0.3
Tove Lo,70.0,Cool Girl,102.022,0.71,0.074,10208546854389224,0.335,0.0,0.233,5dKyZWlgjWw1oJgLa4GCZD,,0.671
Sometymes Why,35.0,Too Repressed - Explicit,79.556,0.163,0.113,10208546854389224,0.929,0.00074,0.213,1AWEQLm9bwhEMj2sxpeSJx,,0.579
Arctic Monkeys,74.0,Do I Wanna Know?,85.032,0.532,0.218,10208546854389224,0.174,0.00034,0.41,2UzMpPKPhbcC8RbsmuURAZ,,0.55
Justin Timberlake,73.0,Mirrors,76.899,0.512,0.0946,10208546854389224,0.234,0.0,0.512,4rHZZAmHpZrA3iH5zx8frV,,0.574
Luan Estilizado,43.0,Espumas Ao Vento,168.013,0.671,0.157,10208546854389224,0.631,0.0,0.861,4HaOYHalzyGRR0cggwYQ4h,,0.628
Jeff Buckley,71.0,Hallelujah,101.213,0.143,0.372,10208546854389224,0.921,0.00063,0.0948,74X1epeRufHckhuX1KFD04,,0.339
Justin Timberlake,44.0,What Goes Around.../...Comes Around (Interlude),76.0,0.723,0.573,10208546854389224,0.122,0.00102,0.432,1JukT6K5k6QKFCysc5G8kv,,0.687
Kanye West,78.0,Stronger,103.992,0.717,0.408,10208546854389224,0.00564,0.0,0.49,4y6c5vMzKKM3KsMbHtjKx5,,0.617
Dire Straits,76.0,Sultans Of Swing,148.192,0.797,0.334,10208546854389224,0.0771,0.0248,0.933,3LTMnFa0hhwisyq6ILahyj,,0.731
Elvis Presley,63.0,A Little Less Conversation - JXL Radio Edit Remix,114.997,0.935,0.159,10208546854389224,0.00015,0.277,0.58,4l2hnfUx0esSbITQa7iJt0,,0.586
Legião Urbana,28.0,La Nuova Gioventu,176.658,0.842,0.374,10208546854389224,1e-05,0.0192,0.719,0zRShidU0bu0Cff7tPqEZQ,,0.286
Jaymes Young,54.0,Moondust (Stripped),73.04,0.132,0.128,10208546854389224,0.928,0.0,0.236,3mBCTEzhxcv6jLaxXoOvWs,,0.556
Maroon 5,75.0,Sugar,120.076,0.788,0.0863,10208546854389224,0.0591,0.0,0.884,494OU6M7NOf4ICYb4zWCf5,,0.748
Djavan,40.0,Samurai - Ao Vivo,93.191,0.819,0.959,10208546854389224,0.0612,0.00142,0.668,4xFsL0r5MHBNvb5JrqxvQu,,0.6
ortoPilot,43.0,Sweet Dreams,125.038,0.331,0.113,10208546854389224,0.707,2e-05,0.415,5ECRlF2VFIdZYoY783Wxgp,,0.918
Julia Stone,41.0,This Love,103.997,0.31,0.33,10208546854389224,0.41,0.105,0.348,6trvIBKmx64nkKs2KrWgx4,,0.691
Justin Timberlake,66.0,My Love,119.997,0.676,0.546,10208546854389224,0.285,0.0,0.804,13X42np3KJr0o2LkK1MG76,,0.771
Luis Fonsi,84.0,Despacito (Featuring Daddy Yankee),177.833,0.786,0.112,10208546854389224,0.209,0.0,0.846,4aWmUDTfIPGksMNLV2rQP2,,0.66
Laura Marling,39.0,Master Hunter,98.573,0.841,0.0978,10208546854389224,0.13,0.00194,0.71,2OqnctQz4VZpk8wcb9TPp4,,0.606
Maroon 5,72.0,Payphone,110.018,0.742,0.293,10208546854389224,0.0169,0.0,0.521,1XGmzt0PVuFgQYYnV2It7A,,0.741
Hozier,75.0,Take Me To Church,128.945,0.664,0.116,10208546854389224,0.634,0.0,0.437,0IqKeD8ZSP72KbGYyzEcAs,,0.566
Legião Urbana,31.0,Leila,115.111,0.629,0.0598,10208546854389224,0.0137,0.0206,0.492,10q1yMXC9FUTiVaN1ctKfm,,0.696
Daft Punk,74.0,Get Lucky - Radio Edit,116.047,0.811,0.101,10208546854389224,0.0426,0.0,0.862,2Foc5Q5nqNiosCNqttzHof,,0.794
Legião Urbana,36.0,Mauricio,150.995,0.559,0.151,10208546854389224,0.012,0.00318,0.682,5WOXdAAtSQIIGXQt96uJJH,,0.543
Legião Urbana,36.0,Perfeição,99.741,0.804,0.0526,10208546854389224,0.00808,0.0001,0.652,5uWxvDP5WpEv3L2lpLOCCE,,0.632
Family of the Year,67.0,Hero,174.564,0.539,0.109,10208546854389224,0.213,6e-05,0.267,6GRDI9suQHikFP6euIXnpq,,0.341
Chris Brown,61.0,Yo (Excuse Me Miss),86.768,0.612,0.209,10208546854389224,0.119,0.0,0.57,7DFnq8FYhHMCylykf6ZCxA,,0.536
Karise Eden,26.0,Back To Black - The Voice Performance,122.794,0.875,0.164,10208546854389224,0.211,1e-05,0.582,7x9Ik31EXT0o7Ko6IZMsot,,0.58
Martin Garrix,83.0,In the Name of Love,133.99,0.519,0.454,10208546854389224,0.109,0.0,0.168,23L5CiUhw2jV1OIMwthR3S,,0.501
Jack Johnson,73.0,Better Together,110.049,0.346,0.108,10208546854389224,0.298,1e-05,0.659,2iXdwVdzA0KrI2Q0iZNJbX,,0.871
Djavan,40.0,Azul - Ao Vivo,119.571,0.651,0.726,10208546854389224,0.756,0.0,0.651,76HOOcFt3lKVdScmoScfz1,,0.632
Clarice Falcão,54.0,Oitavo Andar,116.899,0.29,0.0937,10208546854389224,0.782,0.0,0.704,0bXGN9NcmezC64rItLPlec,,0.696
Elvis Presley,70.0,Jailhouse Rock,167.396,0.582,0.0715,10208546854389224,0.41,0.0,0.915,4gphxUgq0JSFv2BCLhNDiE,,0.647
Ylana Queiroga,6.0,Dois Corações,106.268,0.225,0.105,10208546854389224,0.909,0.0,0.276,1oOu1jqCG64FGPnwjFLEaS,,0.471
Tove Lo,62.0,True Disaster,96.955,0.792,0.103,10208546854389224,0.0438,0.0,0.283,1pIGUxpcyll8BvZpgEBa9U,,0.605
Maroon 5,57.0,It Was Always You,103.951,0.765,0.092,10208546854389224,0.082,0.0,0.299,3WsUKVmB9x7MeO8PBeQgtK,,0.613
Dance Crew United,1.0,Blurred Lines (Party Hit),119.995,0.441,0.055,10208546854389224,0.0945,0.0,0.966,51Bvz1PUuICdUyq1FURouk,,0.934
Djavan,46.0,Oceano - Ao Vivo,83.359,0.281,0.841,10208546854389224,0.774,1e-05,0.225,5hiZnjiGneVZ8qdlBf86VM,,0.395
Maroon 5,71.0,Maps,120.032,0.713,0.0591,10208546854389224,0.0205,0.0,0.879,5rwdhliMmo0aAQ08vU0AOZ,,0.742
Sak Noel,35.0,Party on My Level - Radio Edit,131.067,0.794,0.93,10208546854389224,0.0466,0.0,0.796,604oi9t9QTBH4Gcrv312Ze,,0.657
Muse,66.0,Hysteria,93.162,0.92,0.11,10208546854389224,0.00045,0.0026,0.455,7xyYsOvq5Ec3P4fr6mM9fD,,0.412
Sean Paul,65.0,I'm Still In Love With You (feat. Sasha),87.002,0.666,0.116,10208546854389224,0.102,0.0,0.756,3MhdH8PxqH1FuQp3HBptUI,,0.765
Black Sabbath,74.0,Paranoid - 2009 Remastered Version,163.046,0.646,0.207,10208546854389224,4e-05,0.00084,0.409,1jzDzZWeSDBg5fhNc3tczV,,0.415
Max Gonzaga,14.0,Classe Média,137.274,0.404,0.112,10208546854389224,0.884,0.0,0.794,5sTAH3wd0eYaGBy7lydntw,,0.659
Djavan,39.0,Nem um Dia - Ao Vivo,79.56,0.663,0.811,10208546854389224,0.609,2e-05,0.652,0AhXLjgRJW4d3I356gjwg6,,0.561
Justin Timberlake,63.0,Cry Me a River,73.853,0.654,0.105,10208546854389224,0.543,0.0,0.593,3RRFywqWaZYOj87A4fLQrq,,0.582
Legião Urbana,27.0,Do Espírito,138.973,0.868,0.44,10208546854389224,5e-05,0.0127,0.603,4y5KlSzwxXyC0cGey20XXi,,0.389
Johnny Hooker,49.0,Volta,135.955,0.787,0.281,10208546854389224,0.0809,0.0159,0.534,5fRUC8B4mVENgnWd3WImdw,,0.55
Tiago Iorc,57.0,My Girl,83.538,0.093,0.103,10208546854389224,0.869,0.0,0.312,6LMjjcvtlWp1Dtj19yiIvT,,0.685
Arctic Monkeys,65.0,I Wanna Be Yours,135.175,0.42,0.107,10208546854389224,0.124,0.0163,0.435,0ryEyJ994SqdJwGJXyS1SF,,0.483
Johnny Hooker,53.0,Amor Marginal,170.51,0.539,0.0959,10208546854389224,0.252,2e-05,0.196,7uSdpAkxgB0948bW7yjjJO,,0.423
The Weeknd,74.0,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",119.946,0.372,0.0954,10208546854389224,0.417,0.0,0.432,4WGyY671Z37inSpCTBJoIm,,0.66
Vintage Culture,51.0,Manifesto,119.989,0.759,0.061,10208546854389224,0.00018,0.377,0.0399,6e0EbCex8C9LVogl3Qhogn,,0.668
Legião Urbana,35.0,Dezesseis / Música Incidental: ''Strawberry Fields Forever'',146.878,0.87,0.0885,10208546854389224,0.00022,0.00023,0.4,1ZcvdGsORCJlk0H1hwgAFt,,0.454
Rise Against,72.0,Savior,112.49,0.932,0.425,10208546854389224,0.00154,0.00014,0.478,1vcxF91pWs9uNwDROuiCPB,,0.554
Sia,77.0,Chandelier,117.089,0.787,0.0685,10208546854389224,0.0197,6e-05,0.572,4VrWlk8IQxevMvERoX08iC,,0.399
Bhaskar,53.0,The Hook - Radio Edit,123.984,0.694,0.104,10208546854389224,0.0221,0.0363,0.562,4inIut43RHWSFUNpKLD6l1,,0.84
Legião Urbana,30.0,Soul Parsifal,180.213,0.803,0.157,10208546854389224,0.0125,0.0478,0.776,0pxC9XloRZXa2JmajEEsgO,,0.63
Nick Jonas,53.0,Chains,151.88,0.606,0.0725,10208546854389224,0.0137,0.0,0.13,1SfoXU9q0EZtlgSLlrYBju,,0.534
Djavan,37.0,Açaí - Ao Vivo,118.383,0.373,0.967,10208546854389224,0.927,2e-05,0.141,3LriGsffsmNFYzSPDzuwM0,,0.557
Djavan,43.0,Flor de Lis - Ao Vivo,88.276,0.625,0.766,10208546854389224,0.873,2e-05,0.541,3XFDArxkofBMOLrc1sW0ER,,0.543
Legião Urbana,43.0,Meninos E Meninas,164.841,0.659,0.166,10208546854389224,0.0133,0.00019,0.66,4TOY0nJD6T0xhTT7l9W9xC,,0.485
Hiatus,42.0,We Can Be Ghosts Now,112.018,0.257,0.103,10208546854389224,0.514,0.864,0.594,4buZVQ9wDGXk8AbVeGM5E6,,0.655
Djavan,41.0,Amar é Tudo - Ao Vivo,120.836,0.269,0.967,10208546854389224,0.864,0.0,0.236,5DbgtiIxZcGxCWvh0Ab3rk,,0.432
Djavan,47.0,Eu Te Devoro - Ao Vivo,86.055,0.813,0.728,10208546854389224,0.176,0.00023,0.579,5nAJFFQetcBa6ysyA5cmPo,,0.545
Djavan,38.0,Meu Bem-Querer - Ao Vivo,81.565,0.457,0.796,10208546854389224,0.761,0.00065,0.277,5ogHB4oYt1C7kaWJYm5MDG,,0.489
Nina Simone,69.0,Feeling Good,79.206,0.326,0.191,10208546854389224,0.864,0.0,0.546,61S0mEfdRtJ62Fc7fPqx0U,,0.399
Djavan,43.0,Fato Consumado - Ao Vivo,90.475,0.601,0.725,10208546854389224,0.918,0.00014,0.753,646wZPX6MV7qFqKw1RBjIx,,0.693
Daft Punk,40.0,Technologic - Radio Edit,127.458,0.56,0.107,10208546854389224,0.00035,0.0,0.712,6qIqFdJ8gIXphYO5GkXR1l,,0.791
Djavan,34.0,Faltando um Pedaço - Ao Vivo,133.636,0.254,0.719,10208546854389224,0.877,0.0001,0.168,7wEMqc7x9yTkqrcvLsA0kE,,0.509
The Clash,77.0,Should I Stay or Should I Go - Remastered,113.375,0.833,0.384,10208546854389224,0.079,0.0,0.816,39shmbIHICJ2Wxnk1fPSdz,,0.742
Queens of the Stone Age,67.0,Feet Don't Fail Me,109.331,0.806,0.0976,1563678377056306,0.0188,0.00227,0.288,2JB7PvDV0R3Vwbq0iy1WPe,,0.514
Queens of the Stone Age,60.0,Villains of Circumstance,173.743,0.517,0.116,1563678377056306,0.0135,0.246,0.109,0aDoFKy3OZfSAmBwYcJtSg,,0.162
Queens of the Stone Age,68.0,The Way You Used to Do,97.691,0.843,0.362,1563678377056306,0.0102,0.104,0.433,1wsnCfewxZlCs7cJxkaMZM,,0.474
The Vaccines,65.0,If You Wanna,165.209,0.866,0.295,1563678377056306,3e-05,3e-05,0.544,0KNVDEeZWXZPIYKqJeRRpX,,0.352
The Vaccines,48.0,Handsome,178.01,0.981,0.17,1563678377056306,0.00264,0.0,0.49,0xztyyQKGJTVyMLoC6j5XP,,0.425
Queens of the Stone Age,63.0,Domesticated Animals,116.98,0.408,0.17,1563678377056306,0.0209,0.0248,0.778,5NbMimOzRykGsE1tVHDtKV,,0.776
Queens of the Stone Age,61.0,Un-Reborn Again,111.105,0.752,0.117,1563678377056306,0.0169,0.0214,0.461,2M7FKrVr8intZRw0JZ5BKi,,0.42
Queens of the Stone Age,63.0,Fortress,121.833,0.737,0.0893,1563678377056306,0.0151,0.00145,0.325,2MZUMdIakjQxl03yT1UlmQ,,0.477
The Treblemakers,50.0,Don't Stop The Music,124.984,0.666,0.211,1563678377056306,0.0953,0.0,0.869,4GgCsOFfC7jZtZFIKSgVEe,,0.833
Queens of the Stone Age,61.0,Head Like a Haunted House,197.923,0.986,0.0892,1563678377056306,0.00159,0.00041,0.337,3Ikx48PUIc4w36Li5Lhw0h,,0.292
Queens of the Stone Age,63.0,The Evil Has Landed,85.508,0.882,0.283,1563678377056306,0.00057,0.111,0.766,763LDHO3wYOI7GzXS7uBwU,,0.264
DJ Khaled,86.0,Wild Thoughts,97.98,0.672,0.118,1563678377056306,0.0329,0.0,0.632,1OAh8uOEOvTDqkKFsKksCi,,0.671
Pabllo Vittar,79.0,Corpo Sensual,153.983,0.918,0.0751,1563678377056306,0.119,0.0,0.962,4kkQGhScJDzNIIGavQE9SN,,0.717
The Vaccines,52.0,I Always Knew,150.087,0.872,0.312,1563678377056306,0.00012,0.0004,0.394,6XCo0c6gNbKr0a7L5aI3bq,,0.393
Fifth Harmony,75.0,He Like That,147.016,0.681,0.142,1563678377056306,0.362,0.0,0.491,1zjcIIrm2fbVFmG3dsj03e,,0.592
Queens of the Stone Age,58.0,Hideaway,117.987,0.696,0.0993,1563678377056306,0.0284,0.559,0.62,26Q5QsTDR5rPIqPiFOk7g3,,0.536
The Treblemakers,53.0,Trebles Finals: Bright Lights Bigger City/Magic,112.989,0.528,0.0927,1563678377056306,0.202,0.0,0.405,6hek2OLnDEAy4zzI6CYPIQ,,0.58
The Vaccines,57.0,Post Break-Up Sex,136.883,0.902,0.261,1563678377056306,7e-05,0.00465,0.569,77GZxme1GMNbbooEH8nHNX,,0.402
Demi Lovato,87.0,Sorry Not Sorry,144.021,0.633,0.29,1563678377056306,0.0214,0.0,0.863,3m660poUr1chesgkkjQM7P,,0.704
Ester Dean,52.0,Since U Been Gone,140.031,0.478,0.212,1563678377056306,0.5,0.0,0.532,6CLZCQgIA9IObxbBnNY9de,,0.702
The Vaccines,55.0,Norgaard,173.914,0.847,0.25,1563678377056306,1e-05,0.0208,0.859,1Q8reqCOXg2yqNr47HGo9X,,0.323
Rita Ora,85.0,Your Song,117.959,0.624,0.0513,1563678377056306,0.158,0.0,0.962,4c2W3VKsOFoIg2SFaO6DY5,,0.855
The Barden Bellas,51.0,Bellas Regionals: The Sign/Eternal Flame/Turn The Beat Around,95.948,0.295,0.261,1563678377056306,0.882,0.0,0.498,2R1OcctbIuuIgDRhCEH9u6,,0.425
The Barden Bellas,56.0,Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity,88.96,0.498,0.101,1563678377056306,0.558,0.0,0.715,2qWTGIvj3t9VdkggzllU8G,,0.501
Adele,70.0,Hello,157.966,0.451,0.0872,1563678377056306,0.336,0.0,0.289,4sPmO7WMQUAf45kwMOtONw,,0.481
Anna Kendrick,55.0,Cups - Movie Version,130.034,0.343,0.0314,1563678377056306,0.565,7e-05,0.747,73zjTpeBAafn2rk3fT3o6S,,0.919
The Vaccines,38.0,Weirdo,118.626,0.624,0.139,1563678377056306,0.181,0.0435,0.526,2bSkhRBpiiyrSycu3wENha,,0.704
The Vaccines,48.0,Teenage Icon,104.144,0.934,0.159,1563678377056306,0.00016,0.00308,0.641,68YPheVJ8EuA5IJFddr1Qf,,0.424
The Vaccines,55.0,Wetsuit,120.744,0.742,0.166,1563678377056306,0.00444,0.00666,0.233,6zZO7pgeSAe2Ba5ym0gQwl,,0.474
The Barden Bellas,53.0,Party In The U.S.A.,97.753,0.364,0.173,1563678377056306,0.78,0.0,0.639,3TUQjGEsYrnCfRB1WUtSr7,,0.53
Camila Cabello,100.0,Havana,104.992,0.517,0.104,1563678377056306,0.186,4e-05,0.418,0ofbQMrRDsUaVKq2mGLEAb,,0.768
Queens of the Stone Age,42.0,Turnin On The Screw,86.996,0.958,0.589,1563678377056306,0.0846,0.0,0.633,23GhH0GUzYH7YpkTYUYkO4,,0.514
Adele,72.0,Water Under the Bridge,94.982,0.838,0.108,1563678377056306,0.0189,2e-05,0.472,4vb4mFvYsr2h6enhjJsq9Y,,0.596
Adele,72.0,When We Were Young,143.86,0.594,0.0925,1563678377056306,0.348,0.0,0.273,7IWkJwX9C0J7tHurTD7ViL,,0.381
Adele,62.0,I Miss You,113.218,0.581,0.455,1563678377056306,0.00936,1e-05,0.154,0QLXkoV7vX86QEibgLe6zQ,,0.381
The Barden Bellas,57.0,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,109.335,0.699,0.09,1563678377056306,0.57,0.0,0.248,0c07qeRvyLzNhIQLjEY761,,0.487
The Barden Bellas,54.0,Pool Mashup: Just The Way You Are/Just A Dream,109.884,0.294,0.0595,1563678377056306,0.927,0.00022,0.604,4jCr7BQyrVaYxGN5UaVS1s,,0.551
Whitney Houston,59.0,So Emotional,119.082,0.792,0.199,1563678377056306,0.268,5e-05,0.796,4l2Edgdj4vla02GCh7YyAv,,0.698
Daft Punk,67.0,Harder Better Faster Stronger,123.475,0.716,0.358,1563678377056306,0.0427,0.00263,0.692,5W3cjX2J3tjhG8zb6u0qHn,,0.817
Adele,60.0,River Lea,81.723,0.586,0.123,1563678377056306,0.0579,0.0,0.226,60jkAyuEyOnQKlrppOTYYx,,0.293
The Treblemakers,45.0,Let It Whip,133.937,0.855,0.302,1563678377056306,0.219,0.0,0.898,6MX9pPoT9R7a1PZp4yrJO8,,0.74
The Treblemakers,50.0,Right Round,127.094,0.815,0.253,1563678377056306,0.363,0.0,0.548,6WeDDUsVF7WeRvCxpkjsjs,,0.768
Gudicarmas,19.0,Ávido,119.913,0.699,0.168,1563678377056306,0.111,0.0165,0.637,73UU0GGd4wRHSVaAW0EATM,,0.465
The Vaccines,51.0,Wreckin' Bar (Ra Ra Ra),89.858,0.937,0.271,1563678377056306,4e-05,0.00254,0.776,0TB7xPRIQ6sZqH8q50maWh,,0.404
Kendrick Lamar,76.0,LOYALTY. FEAT. RIHANNA.,110.812,0.523,0.178,1563678377056306,0.021,0.0,0.473,7zjRBaNkVjk1vZ8JqxQIXO,,0.681
DJ Snake,85.0,A Different Way (with Lauv),104.987,0.765,0.152,1563678377056306,0.534,0.0,0.564,0Wv5wuenRLI3BcwgT3HPIP,,0.781
The Vaccines,47.0,All In White,131.259,0.877,0.094,1563678377056306,0.0428,8e-05,0.0966,0tJUTYJFeEPCzYUUk7JJld,,0.319
Selena Gomez,81.0,Fetish (feat. Gucci Mane),123.038,0.61,0.0641,1563678377056306,0.0204,0.0,0.305,0XLOf9LhyazPX9Ld8jPiUq,,0.708
The Vaccines,42.0,Minimal Affection,112.993,0.799,0.0985,1563678377056306,0.00199,0.0062,0.764,1i3A6gIjlFP0YU2BuVIn9x,,0.707
The Vaccines,38.0,Denial,125.989,0.73,0.239,1563678377056306,0.04,7e-05,0.376,2AO5WsBOl1Y4UlZ8ciz5ur,,0.603
Maroon 5,93.0,What Lovers Do (feat. SZA),110.009,0.615,0.0855,1563678377056306,0.0786,0.0,0.393,3hBBKuWJfxlIlnd9QFoC8k,,0.795
Adele,59.0,Daydreamer,108.959,0.104,0.107,1563678377056306,0.963,0.0,0.335,1wV3ZgBuui1rhpKVPVnplu,,0.805
David Guetta,84.0,2U (feat. Justin Bieber),144.937,0.65,0.225,1563678377056306,0.219,0.0,0.557,3A7qX2QjDlPnazUsRk5y0M,,0.548
French Montana,93.0,Unforgettable,97.985,0.769,0.104,1563678377056306,0.0293,0.0101,0.733,3B54sVLJ402zGa6Xm4YGNe,,0.726
Adele,72.0,Send My Love (To Your New Lover),164.023,0.524,0.17,1563678377056306,0.0415,0.0,0.562,4BHzQ9C00ceJxfG16AlNWb,,0.69
Justin Bieber,59.0,Get Used To It,110.048,0.705,0.164,1563678377056306,0.0339,0.0,0.449,1T3iEhgmmfzLOs6sZzBlNU,,0.687
Radiola Serra Alta,4.0,Aboio Beat,160.0,0.75,0.102,1563678377056306,0.0103,0.48,0.086,2C2OO05hjsN8av5cQepLO3,,0.584
Sofia Freire,18.0,1H00 (Ou a Boca Se Cala),120.075,0.498,0.176,1563678377056306,0.908,0.013,0.603,4wNdUDbfdTPqELy7cxCxR1,,0.72
Justin Bieber,64.0,Mark My Words,114.188,0.256,0.169,1563678377056306,0.88,0.0,0.519,5JcxAgRw2S3hb67AA8Vk13,,0.383
The Vaccines,31.0,Melody Calling,145.981,0.908,0.369,1563678377056306,0.00108,0.376,0.855,5URamhHuUItpCnN15VZNVR,,0.593
Justin Bieber,79.0,Sorry,99.945,0.76,0.299,1563678377056306,0.0797,0.0,0.41,69bp2EbF7Q2rqc5N3ylezZ,,0.654
Adele,66.0,Remedy,165.398,0.305,0.169,1563678377056306,0.891,0.0,0.251,7GgQi7JTG4b6J4iEF4RTjF,,0.396
Cyndi Lauper,66.0,Girls Just Want to Have Fun,120.527,0.847,0.406,1563678377056306,0.414,0.0,0.743,7sMGwiS4vOMcz86ZY3vKYM,,0.705
Alesso,82.0,Is That For Me,104.992,0.785,0.0573,1563678377056306,0.234,0.237,0.58,2KwojFDebQV4J2b0JMRR5Q,,0.761
The Vaccines,35.0,Give Me a Sign,129.935,0.78,0.0669,1563678377056306,0.0566,0.0,0.453,5pK6hIrCHAGRRUjNZCMcT9,,0.511
Queens of the Stone Age,69.0,No One Knows,170.411,0.584,0.384,1563678377056306,0.0368,0.0001,0.685,6y20BV5L33R8YXM0YuI38N,,0.509
J Balvin,86.0,Mi Gente (feat. Beyoncé),104.996,0.714,0.253,1563678377056306,0.0249,0.0,0.434,7fwXWKdDNI5IutOMc5OKYw,,0.705
Avicii,89.0,Lonely Together (feat. Rita Ora),102.966,0.667,0.0797,1563678377056306,0.137,2e-05,0.217,7DoN0sCGIT9IcLrtBDm4f0,,0.648
Major Lazer,81.0,Sua Cara (feat. Anitta & Pabllo Vittar),99.957,0.767,0.101,1563678377056306,0.00812,0.00034,0.637,3ibRxEv4KkcU9e259eyNJA,,0.789
The Vaccines,43.0,20/20,167.945,0.906,0.0864,1563678377056306,0.00072,0.0002,0.616,7atmxV7VSp6h0wUyjnasSR,,0.498
Ms. Lauryn Hill,60.0,Doo Wop (That Thing),99.922,0.56,0.226,1563678377056306,0.00867,0.0,0.635,0YfNXMKlh46m6aAhHOrmls,,0.795
